year_month,Q1_return,Q5_return,long_short_return,n_stocks,n_trading_days,Q1_cumulative,Q5_cumulative,LS_cumulative
2015-02,0.05066483705255376,0.08799055131740441,0.03732571426485065,287,15,1.0506648370525538,1.0879905513174044,1.0373257142648507
2015-03,0.20539124717087054,0.18046420610678937,-0.024927041064081168,281,22,1.2664621982933573,1.284333902412588,1.0114682535885433
2015-04,0.19246426315380427,0.18442838301652276,-0.008035880137281515,291,21,1.5102109121000353,1.521201527287842,1.0033402159400404
2015-05,0.1674841971963852,0.1625651360021556,-0.004919061194229579,299,20,1.7631473743103303,1.768495860458077,0.9984047240191999
2015-06,-0.022337025225485863,-0.11894343755498704,-0.09660641232950118,299,21,1.7237639069341113,1.5581448835134286,0.9019524255788792
2015-07,-0.11853993508685301,-0.16335256443457535,-0.044812629347722344,299,23,1.5194290453010817,1.3036179210308974,0.8615335658421338
2015-08,-0.1481847569954522,-0.09110329026082697,0.05708146673462522,293,21,1.294272821451309,1.1848540391820037,0.9107111654215148
2015-09,-0.04472868382275297,-0.0687654293748694,-0.024036745552116434,289,20,1.236381701640231,1.103377042431105,0.8888206328668063
2015-10,0.1518031570584948,0.22610781896624554,0.07430466190775076,290,17,1.424068347278572,1.3528592189926285,0.9548641494886074
2015-11,0.007100377418346682,0.056801999701988404,0.04970162228364172,296,21,1.434179770013771,1.4297043279466801,1.002322446778681
2015-12,0.058505673129426894,0.025382994996328234,-0.03312267813309866,303,23,1.5180874228470334,1.4659945057491794,0.969122842988451
2016-01,-0.2727302781943326,-0.3029424047538598,-0.030212126559527208,309,20,1.1040590176906446,1.0218826048215768,0.939843581004355
2016-02,-0.01737341969561257,-0.011032918300029726,0.006340501395582843,308,16,1.0848777370075793,1.0106082575303588,0.9458026605413428
2016-03,0.16276049773423318,0.1688394148478376,0.006078917113604421,307,23,1.2614529774637213,1.1812387643721773,0.9515521165206001
2016-04,-0.019453626955830305,-0.04499086466500257,-0.025537237709172267,304,20,1.2369131418178207,1.1280938109872538,0.9272521039283476
2016-05,0.005604051471383542,0.0045639165876207866,-0.0010401348837627555,300,21,1.2438448667301985,1.1332423370436109,0.9262876366690093
2016-06,0.008667176400271925,0.07929781129611424,0.07063063489584231,304,20,1.2546254896047218,1.2231059740392627,0.9917119205431107
2016-07,0.04793774268456352,-0.04919868644627734,-0.09713642913084086,311,21,1.3147694034908874,1.1629307667319364,0.8953805658550648
2016-08,0.05228823145584993,0.019068771985453647,-0.033219459470396284,318,23,1.3835163703716886,1.1851064283576165,0.865636507437062
2016-09,-0.004822134599747674,-0.04815484152706584,-0.043332706927318165,322,20,1.376844868212802,1.1280378161073485,0.8281261343547045
2016-10,0.03939378500029589,0.023804606371401693,-0.015589178628894196,323,16,1.431083998929938,1.1548903122918397,0.8152163281189934
2016-11,0.043566696880168676,0.011316265011685589,-0.03225043186848309,324,22,1.4934316017213782,1.1679593571251625,0.7889252494709168
2016-12,-0.05125741782738813,-0.06870390385267389,-0.017446486025285757,327,22,1.41688215411532,1.0877159897494046,0.7751612761310274
2017-01,-0.018110011519389513,-0.003536416744953308,0.014573594774436205,334,18,1.3912224019826742,1.0838693727095015,0.7864581624541959
2017-02,0.04246781004618061,0.04901852668573614,0.006550716639555532,336,18,1.4503045706820656,1.1369990524795142,0.7916100270252988
2017-03,-0.0007893865398678201,-0.0035378689141452035,-0.0027484823742773834,342,23,1.4491597197752604,1.1329764988763342,0.7894343008187186
2017-04,-0.03664578719604128,-0.03294297641052335,0.0037028107855179293,346,18,1.3960541210713013,1.0956528808001738,0.792357426662248
2017-05,-0.0548260740650417,-0.06530472944107202,-0.010478655376030321,351,20,1.3195139544306396,1.0241015658581873,0.784054586253616
2017-06,0.055618144972618744,0.013512268605392341,-0.0421058763672264,352,22,1.3929028728415562,1.0379395012952661,0.7510412807796644
2017-07,0.02848664886048491,0.03561156904790974,0.0071249201874248325,352,21,1.4325820078769542,1.0749021555131955,0.7563923899626808
2017-08,0.0325223108930941,0.05705906828732754,0.024536757394233444,355,23,1.4791728853169814,1.1362350710068185,0.7749518065300395
2017-09,0.0019614354076105123,-0.0048446783353767175,-0.00680611374298723,356,21,1.4820741873882195,1.1307303775744166,0.7696773963894626
2017-10,-0.014931210382382432,-0.00669548637915518,0.008235724003227252,358,17,1.4599450258940274,1.1231595877328702,0.7760162469976487
2017-11,-0.05099265813435139,-0.04437095653722212,0.00662170159712927,354,22,1.3854985482936666,1.0733239224812108,0.7811547950197913
2017-12,-0.011009681098582913,-0.012773230523468793,-0.0017635494248858796,361,21,1.3702446511144037,1.0596141085930044,0.7797771899302873
2018-01,0.003748827397948906,-0.030761014758984295,-0.0345098421569332,364,22,1.3753814618043945,1.027019303359747,0.7528672021882162
2018-02,-0.04313482641951183,-0.027303472256347994,0.015831354163163835,364,15,1.3160546211888475,0.9989781103037303,0.7647861095038881
2018-03,0.01935680228117187,0.03201188709979119,0.012655084818619322,359,22,1.3415292302824227,1.030957284785936,0.7744645425877618
2018-04,-0.030090216606878273,-0.020977554793220166,0.009112661813658107,365,18,1.3011623251587658,1.0093303218548697,0.7815219760510335
2018-05,-0.008478692366847396,-0.025916337477288054,-0.017437645110440658,367,22,1.2901301700844128,0.9831721766076191,0.7678940731866453
2018-06,-0.09679065980995616,-0.05101626557277428,0.04577439423718188,371,20,1.1652576196812114,0.9330144037420423,0.8030439592250861
